년도,월,본부구분,출동건수,이송건수,이송환자수
2020,03,세종,1219,813,852
2020,04,세종,1304,704,732
2020,05,세종,1364,748,764
2020,06,세종,1402,770,782
2020,07,세종,1560,801,811
2020,08,세종,1777,853,865
2020,09,세종,1364,732,749
2020,10,세종,1320,752,770
2020,11,세종,1257,694,705
2020,12,세종,1250,657,671
2020,01,경기,54921,34877,35457
2020,02,경기,46820,28038,28474
2020,03,경기,46469,26447,26854
2020,04,경기,47702,27062,27441
2020,05,경기,54176,31540,32036
2020,06,경기,55873,32497,33009
2020,07,경기,58840,34055,34574
2020,08,경기,59917,33207,33647
2020,09,경기,53416,29636,30066
2020,10,경기,55802,31622,32120
2020,11,경기,51865,29367,29832
2020,12,경기,50332,27571,28013
2020,01,강원,8533,5916,6077
2020,02,강원,6858,4657,4750
2020,03,강원,6719,4411,4485
2020,04,강원,7134,4730,4823
2020,05,강원,8326,5572,5702
2020,06,강원,8933,5909,6096
2020,07,강원,9584,6310,6467
2020,08,강원,10406,6496,6672
2020,09,강원,8516,5574,5698
2020,10,강원,8974,5810,5969
2020,11,강원,8039,5283,5415
2020,12,강원,7804,4878,5035
2020,01,충북,7944,4975,5095
2020,02,충북,7049,4183,4280
2020,03,충북,7431,3964,4042
2020,04,충북,7771,4279,4417
2020,05,충북,8627,4932,5049
2020,06,충북,8786,5064,5190
2020,07,충북,9300,5205,5292
2020,08,충북,9769,5285,5427
2020,09,충북,8489,4913,5046
2020,10,충북,8573,4920,5067
2020,11,충북,8248,4639,4755
2020,12,충북,7788,4379,4566
2020,01,충남,12402,7336,7497
2020,02,충남,11018,5993,6125
2020,03,충남,11496,5763,5900
2020,04,충남,12026,5954,6137
2020,05,충남,13584,7135,7347
2020,06,충남,14115,7520,7731
2020,07,충남,14935,7649,7842
2020,08,충남,15913,7771,7982
2020,09,충남,13894,6967,7172
2020,10,충남,14660,7512,7763
2020,11,충남,13457,6641,6818
2020,12,충남,12867,6193,6356
2020,01,전북,10329,6321,6444
2020,02,전북,8624,4952,5048
2020,03,전북,8730,4815,4891
2020,04,전북,9164,5039,5116
2020,05,전북,10210,5896,6016
2020,06,전북,10565,6231,6380
2020,07,전북,11085,6333,6436
2020,08,전북,11896,6725,6860
2020,09,전북,10185,5907,6001
2020,10,전북,10538,6203,6320
2020,11,전북,10328,5736,5856
2020,12,전북,10043,5618,5751
2020,01,전남,11290,6440,6602
2020,02,전남,9662,5468,5587
2020,03,전남,9961,5541,5681
2020,04,전남,10060,5550,5670
2020,05,전남,11327,6482,6643
2020,06,전남,11860,6800,6984
2020,07,전남,11859,6616,6783
2020,08,전남,13826,7281,7473
2020,09,전남,11713,6506,6706
2020,10,전남,12356,6915,7104
2020,11,전남,10915,5988,6121
2020,12,전남,10631,5671,5795
2020,01,경북,13738,8159,8354
2020,02,경북,12040,6479,6649
2020,03,경북,12709,6403,6586
2020,04,경북,12355,6571,6699
2020,05,경북,13975,7738,7895
2020,06,경북,14563,7992,8184
2020,07,경북,15501,8306,8482
2020,08,경북,17405,9224,9431
2020,09,경북,15074,7925,8104
2020,10,경북,15265,8121,8302
2020,11,경북,14058,7298,7477
2020,12,경북,13712,6834,7048
2020,01,경남,10839,6565,6706
2020,02,경남,9497,5510,5612
2020,03,경남,9414,5313,5415
2020,04,경남,10079,5381,5467
2020,05,경남,11602,6287,6417
2020,06,경남,11936,6507,6641
2020,07,경남,12765,6818,6962
2020,08,경남,14188,7411,7589
2020,09,경남,11934,6391,6514
2020,10,경남,12353,6693,6823
2020,11,경남,11477,6032,6173
2020,12,경남,10634,5278,5384
2020,01,창원,3990,2378,2407
2020,02,창원,3351,1949,1968
2020,03,창원,3142,1724,1764
2020,04,창원,3496,1811,1829
2020,05,창원,3819,2141,2178
2020,06,창원,3812,2095,2133
2020,07,창원,4030,2255,2282
2020,08,창원,4145,2323,2371
2020,09,창원,3856,2112,2135
2020,10,창원,3795,2119,2147
2020,11,창원,3862,2033,2058
2020,12,창원,3458,1843,1861
2020,01,제주,4275,3074,3170
2020,02,제주,3471,2365,2407
2020,03,제주,3812,2430,2476
2020,04,제주,3725,2376,2437
2020,05,제주,4111,2649,2705
2020,06,제주,4198,2641,2697
2020,07,제주,4640,2928,2998
2020,08,제주,5044,3205,3290
2020,09,제주,4147,2665,2718
2020,10,제주,4520,2860,2933
2020,11,제주,4253,2746,2824
2020,12,제주,3934,2539,2701
