연번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,관리기관명
30,경희세중한의원,한의원,"경기도 양주시 고읍남로 1 (광사동, 힘찬프라자 302호)",031-843-3575,양주시 보건행정과
31,양주경희한의원,한의원,"경기도 양주시 고읍로 76 (광사동, 202호)",031-842-7605,양주시 보건행정과
32,양주한의원,한의원,경기도 양주시 독바위로 5 (덕정동),031-858-4548,양주시 보건행정과
33,고려한의원,한의원,경기도 양주시 광적면 가래비길 148 (용제빌딩 101호),031-855-7510,양주시 보건행정과
34,동의보감한의원,한의원,경기도 양주시 평화로 1420 (덕계동),031-867-8210,양주시 보건행정과
35,동의뿌리한의원,한의원,"경기도 양주시 삼숭로38번길 80, 3층 (삼숭동, 양주자이프라자)",031-847-1051,양주시 보건행정과
36,남면한의원,한의원,경기도 양주시 남면 개나리11길 12,031-868-2321,양주시 보건행정과
37,가정한의원,한의원,경기도 양주시 회정로 134 (덕정동),031-857-6119,양주시 보건행정과
38,거북이한의원,한의원,경기도 양주시 백석읍 양주산성로 566,031-836-1075,양주시 보건행정과
39,예인한의원,한의원,"경기도 양주시 고암길 306-77 (덕정동, 황금프라자 305호)",031-858-8100,양주시 보건행정과
40,백석한의원,한의원,"경기도 양주시 백석읍 양주산성로574번길 7, 한흥빌딩 3,4층",031-879-6386,양주시 보건행정과
41,금강한의원,한의원,"경기도 양주시 회정로 114 (덕정동, 금강프라자 401호)",031-859-8885,양주시 보건행정과
42,경희한의원,한의원,경기도 양주시 평화로 1444 (덕계동),031-863-0543,양주시 보건행정과
43,국군양주한의원,한의원,경기도 양주시 은현면 화합로 1133,031-863-6465,양주시 보건행정과
44,영보한의원,한의원,경기도 양주시 광적면 가래비길 42,031-855-2155,양주시 보건행정과
45,덕정한의원,한의원,경기도 양주시 화합로 1365 (덕정동),031-858-3610,양주시 보건행정과
46,덕계한의원,한의원,"경기도 양주시 평화로 1437, 4층 (덕계동)",031-866-5464,양주시 보건행정과
47,서울늘봄치과의원,치과의원,"경기도 양주시 광적면 가래비12길 11-15, 4층",031-876-2875,양주시 보건행정과
48,큰별치과의원,치과의원,"경기도 양주시 옥정동로 187, 3층 (옥정동)",031-894-5828,양주시 보건행정과
49,양주아이온소아치과의원,치과의원,"경기도 양주시 덕계로 148, 4층 (덕계동)",031-838-7582,양주시 보건행정과
50,비룡치과의원,치과의원,"경기도 양주시 남면 감악산로 226, 통합생활관 건물 1층 일부",031-863-5613,양주시 보건행정과
51,리온치과의원,치과의원,"경기도 양주시 덕계로 130, 4층 401~409호 (덕계동)",031-863-7522,양주시 보건행정과
52,양주이지치과의원,치과의원,"경기도 양주시 회천중앙로 236, 3층 302~304호 (덕계동)",031-838-2275,양주시 보건행정과
53,서울아임치과의원,치과의원,"경기도 양주시 덕계로4길 4, 케이타워 4층 401~404호 (덕계동)",031-866-2879,양주시 보건행정과
54,연세가온치과의원,치과의원,"경기도 양주시 옥정로 208, 선양프라자 603,604,605호 (옥정동)",031-894-4504,양주시 보건행정과
55,서울바른성장치과의원,치과의원,"경기도 양주시 옥정로 214, 3층 302호 (옥정동)",031-863-2080,양주시 보건행정과
56,바로나치과의원,치과의원,"경기도 양주시 회천중앙로 248, 스타프라자 201호~205호 (덕계동)",031-864-7528,양주시 보건행정과
57,아이보듬소아치과의원,치과의원,"경기도 양주시 옥정로 208, 선양프라자 5층 501~503호 (옥정동)",031-857-7975,양주시 보건행정과
58,덕계베스트치과의원,치과의원,"경기도 양주시 덕계로 132-12, 제이타워 3층 301호,302호 (덕계동)",031-858-2275,양주시 보건행정과
59,조은이플란트치과의원,치과의원,"경기도 양주시 부흥로 2152-4, 2층 (삼숭동)",031-847-5550,양주시 보건행정과
60,옥정JS치과의원,치과의원,"경기도 양주시 옥정서로 227, A+모닝프라자 2층 204, 205호 (옥정동)",031-928-5275,양주시 보건행정과
61,서울온맘치과의원,치과의원,"경기도 양주시 덕계로 140, 진산메디프라자 주건축물제1동 3층 306~308호 (덕계동)",031-863-2879,양주시 보건행정과
62,서울올곧은치과의원,치과의원,"경기도 양주시 백석읍 양주산성로 573, 주1동 4층",031-872-2228,양주시 보건행정과
63,더스탠다드치과의원,치과의원,"경기도 양주시 고읍남로 15, 마들프라자 2층 201호 (광사동)",031-846-2888,양주시 보건행정과
64,연세리더스치과의원,치과의원,"경기도 양주시 옥정동로4길 3, 3층 301.302호 (옥정동)",031-867-2879,양주시 보건행정과
65,양주베스트치과의원,치과의원,"경기도 양주시 회정로 107, 3층 일부 (덕정동)",031-857-2835,양주시 보건행정과
66,강남연세치과의원,치과의원,"경기도 양주시 옥정로 204, 한길프라자 3층 303,304호 (옥정동)",031-865-2875,양주시 보건행정과
67,이빛나는치과의원,치과의원,"경기도 양주시 옥정로7길 9-19, 2층 201~204호 (옥정동)",031-928-7331,양주시 보건행정과
68,세브란스에스치과의원,치과의원,"경기도 양주시 옥정로 226, 제일타워 4층 401호,402호 (옥정동)",031-928-6828,양주시 보건행정과
69,이튼튼소아치과치과의원,치과의원,"경기도 양주시 옥정로 200, 옥정 시네마엠디프라자 3층 305호 (옥정동)",031-867-2877,양주시 보건행정과
70,연세365치과의원,치과의원,"경기도 양주시 옥정로 200, 옥정 시네마엠디프라자 3층 303호,306호,307호 (옥정동)",031-868-2275,양주시 보건행정과
71,옥정든든치과의원,치과의원,"경기도 양주시 옥정로 139, 다올스퀘어빌딩 202~204호 (옥정동)",031-526-7528,양주시 보건행정과
72,연세쉼표치과의원,치과의원,"경기도 양주시 옥정로 214, 피오피타워 501-1호 (옥정동)",031-857-9069,양주시 보건행정과
73,더라이프치과의원,치과의원,"경기도 양주시 회천남로 76, 한덕타워 302호 (옥정동)",031-866-2275,양주시 보건행정과
74,옥정공감치과의원,치과의원,"경기도 양주시 옥정로 218, 신운정튼튼프라자 302호 (옥정동)",031-859-3100,양주시 보건행정과
75,옥정아트치과의원,치과의원,"경기도 양주시 옥정로 196, 파스텔시티 502,503호 (옥정동)",031-868-2879,양주시 보건행정과
76,연세센터원치과의원,치과의원,"경기도 양주시 회천남로 92, 센타프라자 501,502-1호 (옥정동)",031-861-2119,양주시 보건행정과
77,광적치과의원,치과의원,"경기도 양주시 광적면 가래비길 98, 3층",031-871-2870,양주시 보건행정과
78,서울명문치과의원,치과의원,"경기도 양주시 고읍남로 6-10, 한솔프라자 202호 (광사동)",031-894-7528,양주시 보건행정과
79,연세웰치과의원,치과의원,"경기도 양주시 평화로 1437, 3층 (덕계동)",031-866-2876,양주시 보건행정과
80,화이트라인치과의원,치과의원,"경기도 양주시 회천남로 88, 301,302호 (옥정동, M타워)",031-865-7700,양주시 보건행정과
81,화인치과의원,치과의원,"경기도 양주시 옥정동로 274, 301호 (옥정동)",031-862-2879,양주시 보건행정과
82,덕정통치과의원,치과의원,"경기도 양주시 화합로 1363, 아트시티 301, 302호 (덕정동)",031-857-8275,양주시 보건행정과
83,고읍미소치과의원,치과의원,"경기도 양주시 고읍남로 20, 4층 (광사동, 필립프라자)",031-841-2275,양주시 보건행정과
84,미소치과의원,치과의원,"경기도 양주시 백석읍 양주산성로 564, 2층",031-877-2830,양주시 보건행정과
85,우리들치과의원,치과의원,"경기도 양주시 광적면 백은로 259, 3층",031-838-2808,양주시 보건행정과
86,늘사랑치과의원,치과의원,"경기도 양주시 고읍남로 6-16 (광사동, 광장프라자 204호)",031-847-7528,양주시 보건행정과
87,스마일치과의원,치과의원,경기도 양주시 고읍남로 18 (광사동),031-848-2754,양주시 보건행정과
88,서울좋은치과의원,치과의원,"경기도 양주시 삼숭로38번길 80 (삼숭동, 양주프라자1 2304호)",031-846-2842,양주시 보건행정과
89,백석튼튼치과의원,치과의원,경기도 양주시 백석읍 양주산성로 564-1,031-875-2825,양주시 보건행정과
90,연세林(림)치과의원,치과의원,"경기도 양주시 고읍남로 6 (광사동, 세원메디컬프라자 402호)",031-856-2879,양주시 보건행정과
91,서울솔치과의원,치과의원,경기도 양주시 회정로 91 (덕정동),031-861-2870,양주시 보건행정과
92,THE(더) 조은 치과의원,치과의원,"경기도 양주시 고읍남로 2 (광사동, 해동월드타워 401,402호)",031-843-2080,양주시 보건행정과
93,튼튼이치과의원,치과의원,경기도 양주시 삼숭로38번길 102 (삼숭동),031-821-2875,양주시 보건행정과
94,서울치과의원,치과의원,경기도 양주시 회정로 135 (덕정동),031-864-2845,양주시 보건행정과
95,서울베스트치과의원,치과의원,경기도 양주시 백석읍 호명로 69,031-836-2275,양주시 보건행정과
96,서울 탑 치과의원,치과의원,"경기도 양주시 백석읍 양주산성로 645, 백석상가 가동 2층 전체",031-879-2777,양주시 보건행정과
97,아름다운내일치과의원,치과의원,"경기도 양주시 회정로 134 (덕정동, 두리테크 301호)",031-827-2875,양주시 보건행정과
98,서울수치과의원,치과의원,"경기도 양주시 삼숭로38번길 71, 양주프라자2 3층 3308,3309,3310호 (삼숭동)",031-848-2828,양주시 보건행정과
99,서울송추치과의원,치과의원,경기도 양주시 장흥면 가마골로 4,031-829-2876,양주시 보건행정과
100,주내다나치과의원,치과의원,"경기도 양주시 고읍로 76 (광사동, 203호)",031-848-0025,양주시 보건행정과
101,이편한치과의원,치과의원,"경기도 양주시 평화로 1713 (회정동, 이마트 내)",031-859-2879,양주시 보건행정과
102,곽기재치과의원,치과의원,경기도 양주시 남면 개나리길 79-2,031-867-9380,양주시 보건행정과
103,연세미치과의원,치과의원,경기도 양주시 회정로 132 (덕정동),031-857-3200,양주시 보건행정과
104,우리치과의원,치과의원,"경기도 양주시 평화로 1426 (덕계동, 영토빌딩 301호)",031-865-0505,양주시 보건행정과
105,즐거운치과의원,치과의원,경기도 양주시 고암길 306-77 (덕정동),031-859-6600,양주시 보건행정과
106,백이부부치과의원,치과의원,경기도 양주시 회정로 114 (덕정동),031-859-2875,양주시 보건행정과
107,덕계치과의원,치과의원,경기도 양주시 평화로 1410 (덕계동),031-863-0414,양주시 보건행정과
108,이종훈치과의원,치과의원,"경기도 양주시 광적면 가래비12길 10, 3층",031-837-0102,양주시 보건행정과
109,강호플러스치과의원,치과의원,"경기도 양주시 평화로 1440, 3층 (덕계동)",031-863-3840,양주시 보건행정과
110,좋은얼굴치과의원,치과의원,"경기도 양주시 고읍남로 1 (광사동, 힘찬프라자 304호,305호)",031-857-2804,양주시 보건행정과
111,덕계한결내과의원,의원,"경기도 양주시 회천중앙로 244, 한길프라자 401~404호 (덕계동)",031-894-5388,양주시 보건행정과
112,베리미의원,의원,"경기도 양주시 옥정동로7다길 74, 부자로타워 9층 (옥정동)",031-864-7582,양주시 보건행정과
113,연세원탑정형외과의원,의원,"경기도 양주시 회천중앙로 236, 노블프라자주 1동 4층 (덕계동)",031-861-8882,양주시 보건행정과
114,참마디마취통증의학과의원,의원,"경기도 양주시 옥정로 196, 2층 204호, 205호 (옥정동)",031-861-1110,양주시 보건행정과
115,아름다운 척 외과의원,의원,"경기도 양주시 장흥면 가마골로 232-21, 지하 1층 일부",070-4164-0157,양주시 보건행정과
116,비룡의원,의원,"경기도 양주시 남면 감악산로 226, 통합생활관 건물 1층 일부",031-863-5163,양주시 보건행정과
117,더이룰의원,의원,"경기도 양주시 덕계로 130, 6층 601~606호 (덕계동)",031-858-7700,양주시 보건행정과
118,엘리산부인과의원,의원,"경기도 양주시 옥정로 196, 파스텔시티 202,203호 (옥정동)",031-951-9355,양주시 보건행정과
119,옥빛소아청소년과의원,의원,"경기도 양주시 회천로 84, 2층 (옥정동)",031-866-7579,양주시 보건행정과
120,양주봄정신건강의학과의원,의원,"경기도 양주시 옥정로 214, 3층 301-2호 (옥정동)",031-864-6777,양주시 보건행정과
121,비바덤의원,의원,"경기도 양주시 회천중앙로 236, 6층 (덕계동)",031-867-3678,양주시 보건행정과
122,뷰티온피부과의원 양주옥정점,의원,"경기도 양주시 회천남로 76, 한덕타워 404호 (옥정동)",031-861-4447,양주시 보건행정과
123,덕계더바른의원,의원,"경기도 양주시 덕계로 138-32, 센트럴휴티스 206~214호 (덕계동)",031-857-8872,양주시 보건행정과
124,더플러스24의원,의원,"경기도 양주시 덕계로 132-12, 4,5층 (덕계동)",031-838-2475,양주시 보건행정과
125,피어리움의원,의원,"경기도 양주시 회천남로 80, 대방엘리움 어반시티 오피스텔 3층 301,302호 (옥정동)",031-8088-7005,양주시 보건행정과
126,하나의원,의원,"경기도 양주시 고읍로 96, 그린프라자 109, 110호 (광사동)",031-842-0561,양주시 보건행정과
127,옥정탑내과의원,의원,"경기도 양주시 옥정서로 221, 한길메디프라자 2층 201-203호 (옥정동)",031-894-5220,양주시 보건행정과
128,눈편한성모안과의원,의원,"경기도 양주시 덕계로4길 4, 4층 405~410호 (덕계동)",031-868-8200,양주시 보건행정과
129,늘봄내과의원,의원,"경기도 양주시 옥정동로 193, 402호 (옥정동)",031-859-7585,양주시 보건행정과
130,옥정미래내과의원,의원,"경기도 양주시 옥정서로 217, 옥정프라자 3층 301,302,303호 (옥정동)",031-894-5025,양주시 보건행정과
131,오늘내과의원,의원,"경기도 양주시 옥정로 142, 201~204호 (옥정동)",031-822-7664,양주시 보건행정과
132,고려마디튼튼의원,의원,"경기도 양주시 회천중앙로 248, 스타프라자 301-307, 310,311호 (덕계동)",031-859-7588,양주시 보건행정과
133,키즈웰소아청소년과의원,의원,"경기도 양주시 옥정로 142, (옥정동,메디컬프라자2)301,302호 (옥정동)",031-868-5700,양주시 보건행정과
134,아이영소아청소년과의원,의원,"경기도 양주시 옥정서로 221, 401호 (옥정동)",031-857-9305,양주시 보건행정과
135,양주숲이비인후과의원,의원,"경기도 양주시 회천중앙로 248, 스타프라자 401-407호 (덕계동)",031-928-6567,양주시 보건행정과
136,연세탑신경외과의원,의원,"경기도 양주시 옥정로 208, 선양프라자 405,406,407호 (옥정동)",031-861-7593,양주시 보건행정과
137,회천베스트내과의원,의원,"경기도 양주시 덕계로 140, 진산메디프라자 601~605호 (덕계동)",031-863-1500,양주시 보건행정과
138,탑소아청소년과의원,의원,"경기도 양주시 옥정로 208, 선양프라자 403호 (옥정동)",031-861-7588,양주시 보건행정과
139,행복한이비인후과의원,의원,"경기도 양주시 옥정동로 193, 호수메디프라자 (옥정동)",031-859-4379,양주시 보건행정과
140,양주베스트내과의원,의원,"경기도 양주시 백석읍 양주산성로 573, 3층",031-877-5220,양주시 보건행정과
141,회천연세내과의원,의원,"경기도 양주시 회천중앙로 252, 회천센트럴타워 주건축물제1동 3층 302호 (덕계동)",031-857-5775,양주시 보건행정과
142,회천연세소아청소년과의원,의원,"경기도 양주시 회천중앙로 252, 회천센트럴타워 주건축물제1동 3층 301호 (덕계동)",031-857-5775,양주시 보건행정과
143,다시봄날의원,의원,"경기도 양주시 회천남로 76, 한덕타워 6층 601-1호 (옥정동)",031-866-2666,양주시 보건행정과
144,옥정서울정형외과의원,의원,"경기도 양주시 옥정로 222, 스카이타워 2층 203~206호 (옥정동)",031-945-7510,양주시 보건행정과
145,양주맘유외과의원,의원,"경기도 양주시 옥정로 222, 스카이타워 3층 303호 (옥정동)",031-857-8500,양주시 보건행정과
146,마디팔팔정형외과의원,의원,"경기도 양주시 옥정동로7가길 36, 옥정메인타워 3층 302~305호 (옥정동)",031-857-1788,양주시 보건행정과
147,양주항외과의원,의원,"경기도 양주시 회천남로 76, 한덕타워 4층 401-1호 (옥정동)",031-928-6820,양주시 보건행정과
148,리멤버피부과의원 양주옥정,의원,"경기도 양주시 옥정로 226, 제일타워 3층 303,304,305호 (옥정동)",031-862-1004,양주시 보건행정과
149,한상우마취통증의학과의원,의원,"경기도 양주시 옥정로 214, 6층 602호 (옥정동)",031-858-8275,양주시 보건행정과
150,아산재건정형외과의원,의원,"경기도 양주시 고읍남로 18, 가보프라자 3층 301,302호, 4층, 6층 601,602호, 7층 702호 (광사동)",031-847-2046,양주시 보건행정과
151,더원마취통증의학과의원,의원,"경기도 양주시 고읍남로 1, 힘찬프라자 4층 401호일부,402호,403호 (광사동)",031-840-7582,양주시 보건행정과
152,서울이비인후과의원,의원,"경기도 양주시 옥정로 200, 옥정 시네마엠디프라자 5층 507호 (옥정동)",031-861-1006,양주시 보건행정과
153,우리튼튼정형외과신경외과의원,의원,"경기도 양주시 옥정로 200, 옥정 시네마엠디프라자 5층 501~505호 (옥정동)",031-865-5775,양주시 보건행정과
154,양주삼성내과의원,의원,"경기도 양주시 옥정로 214, 5층 502호 (옥정동)",031-928-5024,양주시 보건행정과
155,센트럴이비인후과의원,의원,"경기도 양주시 회천남로 92, 센타프라자 3층 303호 일부 (옥정동)",031-865-7582,양주시 보건행정과
156,옥정더나은정형외과의원,의원,"경기도 양주시 옥정동로4길 3, 이레프라자 2층 201~205호 (옥정동)",031-864-7588,양주시 보건행정과
157,이안산부인과의원,의원,"경기도 양주시 옥정로 222, 스카이타워 5층 502~504호 (옥정동)",031-928-6881,양주시 보건행정과
158,은혜소아청소년과의원,의원,"경기도 양주시 옥정동로4길 3, 3층 304,305호 (옥정동)",031-866-8850,양주시 보건행정과
159,하늘의원,의원,"경기도 양주시 부흥로 1896, 공간빌딩 2층 (광사동)",031-879-8805,양주시 보건행정과
160,양주아산정형외과의원,의원,"경기도 양주시 평화로 1440, 3층 303호~309호 (덕계동)",031-858-1275,양주시 보건행정과
161,양주숲정신건강의학과의원,의원,"경기도 양주시 옥정로 196, 파스텔시티 501호 (옥정동)",031-857-8419,양주시 보건행정과
162,로뎀성모안과의원,의원,"경기도 양주시 회천남로 76, 한덕타워 301,402호 (옥정동)",031-858-8000,양주시 보건행정과
163,서울바른의원,의원,"경기도 양주시 회천남로 76, 한덕타워 501호 (옥정동)",031-861-4500,양주시 보건행정과
164,드림365소아청소년과의원,의원,"경기도 양주시 회천남로 92, 센타프라자 606호,901~903호 (옥정동)",031-863-9090,양주시 보건행정과
165,바른본 정형외과의원,의원,"경기도 양주시 회천남로 76, 한덕타워 주건축물 제1동 5층 502호 (옥정동)",031-866-5544,양주시 보건행정과
166,두리이비인후과의원,의원,"경기도 양주시 옥정로 196, 파스텔시티 604,605호 (옥정동)",031-868-8766,양주시 보건행정과
167,오체안피부과의원,의원,"경기도 양주시 회천남로 92, 센타프라자 504,505호 (옥정동)",031-857-7558,양주시 보건행정과
168,훈훈한마취통증의학과의원,의원,"경기도 양주시 회천남로 92, 센타프라자 6층 601~603호 (옥정동)",031-866-1237,양주시 보건행정과
169,다봄안과의원,의원,"경기도 양주시 옥정로 218, 신운정튼튼프라자 403호 (옥정동)",031-868-7585,양주시 보건행정과
170,더감동의원,의원,"경기도 양주시 옥정로 196, 파스텔시티 504호 (옥정동)",031-866-6002,양주시 보건행정과
171,서울연합이비인후과의원,의원,"경기도 양주시 백석읍 양주산성로 565, 301호",031-855-1424,양주시 보건행정과
172,올바른정형외과의원,의원,"경기도 양주시 회정로 132, 파르코프라자 2층 (덕정동)",031-878-8275,양주시 보건행정과
173,강남베스트내과의원,의원,"경기도 양주시 회천남로 92, 센타프라자 502-2,503호 (옥정동)",031-862-5700,양주시 보건행정과
174,주가람내과의원,의원,"경기도 양주시 옥정로 196, 파스텔시티 4층 403호,405호,406호 (옥정동)",031-867-8670,양주시 보건행정과
175,더맑은내과의원,의원,"경기도 양주시 회천남로 88, M타워 6층 601,602,603,604호 (옥정동)",031-862-1310,양주시 보건행정과
176,늘편한 신경과의원,의원,"경기도 양주시 회천남로 88, M타워 503호 (옥정동)",031-858-7321,양주시 보건행정과
177,양주평화의원,의원,"경기도 양주시 옥정로 143, 301~303호 (옥정동)",031-866-2084,양주시 보건행정과
178,아산척척정형외과의원,의원,"경기도 양주시 화합로 1363, 4층 401,402,403호 (덕정동, 아트시티)",031-859-7500,양주시 보건행정과
179,코앤365이비인후과의원,의원,"경기도 양주시 고읍남로 10, 302, 303호 (광사동, 더 테라스 2)",031-845-8200,양주시 보건행정과
180,열린이비인후과의원,의원,"경기도 양주시 회천남로 88, 402호 (옥정동, M타워)",031-867-2227,양주시 보건행정과
181,서울연합소아청소년과의원,의원,"경기도 양주시 옥정동로 274, 302호 (옥정동)",031-857-8474,양주시 보건행정과
182,힘내라마취통증의학과의원,의원,"경기도 양주시 고읍남로 6-16, 3층 (광사동, 광장프라자 301,302호)",031-848-8875,양주시 보건행정과
183,한평주정신건강의학과의원,의원,"경기도 양주시 평화로 1426 (덕계동, 영토빌딩 9층)",031-867-7780,양주시 보건행정과
184,정영수소아청소년과의원,의원,"경기도 양주시 옥정동로 177, 수현프라자 301, 302호 (옥정동)",031-861-5275,양주시 보건행정과
185,두드림내과의원,의원,"경기도 양주시 고읍남로 2, 해동월드타워5층 501호,502호 (광사동)",031-843-3305,양주시 보건행정과
186,임소아청소년과의원,의원,경기도 양주시 고암길 306-77 (덕정동),031-858-7582,양주시 보건행정과
187,해맑은소아청소년과의원,의원,"경기도 양주시 회정로 132, 402호 (덕정동)",031-858-9573,양주시 보건행정과
188,상쾌한이비인후과의원,의원,"경기도 양주시 회정로 132, 401호 (덕정동)",031-858-4276,양주시 보건행정과
189,단샘의원,의원,경기도 양주시 고읍로 10 (고읍동),031-856-9057,양주시 보건행정과
190,해와달 소아청소년과의원,의원,"경기도 양주시 고읍남로 6, 401호 (광사동)",031-821-8237,양주시 보건행정과
191,화이트의원,의원,경기도 양주시 회정로 134 (덕정동),031-868-9290,양주시 보건행정과
192,21세기의원,의원,"경기도 양주시 고읍남로 18 (광사동, 가보프라자 501,502호)",031-856-3007,양주시 보건행정과
193,장내과의원,의원,"경기도 양주시 광적면 가래비12길 10, 2층",031-829-9981,양주시 보건행정과
194,연세원내과의원,의원,"경기도 양주시 고읍로 76 (광사동, 304,308호)",031-848-8700,양주시 보건행정과
195,21세기내과의원,의원,"경기도 양주시 고읍남로 6-16 (광사동, 광장프라자 3층)",031-847-8600,양주시 보건행정과
196,에이스의원,의원,"경기도 양주시 고읍남로 1 (광사동, 힘찬프라자 503호)",031-844-1040,양주시 보건행정과
197,우리안과의원,의원,"경기도 양주시 고읍남로 1 (광사동, 힘찬프라자 502호)",031-841-0015,양주시 보건행정과
198,고읍 본정형외과의원,의원,"경기도 양주시 고읍남로 2, 해동월드타워 3층 301,302,303호일부 (광사동)",031-842-7877,양주시 보건행정과
199,아산 장편한 내과의원,의원,"경기도 양주시 고읍남로 1 (광사동, 힘찬프라자 303호)",031-845-7575,양주시 보건행정과
200,양주새롬의원,의원,"경기도 양주시 광적면 가래비길 98, 201호",031-877-2119,양주시 보건행정과
201,늘푸른 가정의학과의원,의원,"경기도 양주시 삼숭로38번길 80, 양주자이프라자1 2205~2208호 (삼숭동)",031-843-8279,양주시 보건행정과
202,성모안과의원,의원,경기도 양주시 회정로 120 (덕정동),031-861-7582,양주시 보건행정과
203,민소아청소년과의원,의원,"경기도 양주시 삼숭로38번길 80 (삼숭동, 양주프라자1  2105호)",031-856-1175,양주시 보건행정과
204,구구소아청소년과의원,의원,"경기도 양주시 회천남로 88, M타워 304,404,405,502호 (옥정동)",031-847-5844,양주시 보건행정과
205,김형주내과의원,의원,"경기도 양주시 회정로 134 (덕정동, (덕정동.두리테크 4층 403호))",031-861-7780,양주시 보건행정과
206,서울정형외과의원,의원,경기도 양주시 백석읍 양주산성로 540-5,031-878-9112,양주시 보건행정과
207,백석삼성정형외과의원,의원,"경기도 양주시 백석읍 양주산성로 565, 2층",031-878-0119,양주시 보건행정과
208,성심내과의원,의원,경기도 양주시 백석읍 양주산성로 564,031-855-2288,양주시 보건행정과
209,성모예일내과의원,의원,"경기도 양주시 삼숭로38번길 80 (삼숭동, 양주프라자1 2305호)",031-821-7311,양주시 보건행정과
210,고창걸이비인후과의원,의원,"경기도 양주시 삼숭로38번길 80, 양주자이프라자 1상가 3층 고창걸이비인후과의원. (삼숭동)",031-848-3075,양주시 보건행정과
211,한양연합재활의학과의원,의원,경기도 양주시 남면 개나리길 37,031-867-7582,양주시 보건행정과
212,한사랑의원,의원,경기도 양주시 광적면 가래비8길 7 (수국빌딩 2층),031-879-5297,양주시 보건행정과
213,혜민의원,의원,경기도 양주시 독바위로 44 (덕정동),031-858-0061,양주시 보건행정과
