장소유형,담당부서,장소명,읍면동 구분,소재지도로명주소,소재지지번주소,연락처,홈페이지,위도,경도,데이터기준일자,비고
공공의료,보건행정과,주암보건진료소,북내면,경기도 여주시 북내면 여양2로 1104,경기도 여주시 북내면 주암리 210-4,031-887-3661,https://www.yeoju.go.kr/health,37.39600151,127.6806583,2025-12-16,
공공의료,건강증진과,치매안심센터,여흥동,"경기도 여주시 여흥로160번길 12, 1층",경기도 여주시 상동 357,031-887-3685,https://www.yeoju.go.kr/health,37.29477832,127.6399084,2025-12-16,
공공의료,보건행정과,하호보건진료소,금사면,경기도 여주시 금사면 금품1로 710,경기도 여주시 금사면 하호리 178,031-887-3658,https://www.yeoju.go.kr/health,37.406821,127.5037336,2025-12-16,
공공의료,보건행정과,흥천보건지소,흥천면,경기도 여주시 흥천면 효자로 131-12,경기도 여주시 흥천면 효지리 214-1,031-887-3644,https://www.yeoju.go.kr/health,37.33131503,127.5431287,2025-12-16,
공공청사(서비스),회계과,가남읍 행정복지센터,가남읍,경기도 여주시 가남읍 태평중앙1길 20,경기도 여주시 가남읍 태평리 138-8,031-887-3832,https://www.yeoju.go.kr,37.20165418,127.5448729,2025-12-16,
공공청사(서비스),회계과,강천면 행정복지센터,강천면,경기도 여주시 강천면 긴등길 5,경기도 여주시 강천면 간매리 526-6,031-887-3982,https://www.yeoju.go.kr,37.27284624,127.7110728,2025-12-16,
공공청사(서비스),회계과,금사면 행정복지센터,금사면,경기도 여주시 금사면 이포로 27,경기도 여주시 금사면 이포리 197-3,031-887-3893,https://www.yeoju.go.kr,37.39257969,127.5333597,2025-12-16,
공공청사(서비스),회계과,농업기술센터,여흥동,경기도 여주시 농산로 71,경기도 여주시 상거동 5-6,031-887-3710,https://www.yeoju.go.kr/agriculture,37.25375913,127.6377715,2025-12-16,
공공청사(서비스),회계과,대신면 행정복지센터,대신면,경기도 여주시 대신면 여양로 1456-10,경기도 여주시 대신면 율촌리 390,031-887-3932,https://www.yeoju.go.kr,37.37507087,127.5865435,2025-12-16,
공공청사(서비스),회계과,도시안전정보센터,여흥동,경기도 여주시 강변유원지길 107,경기도 여주시 연양동 304-3,031-887-3380,https://www.yeoju.go.kr,37.29310473,127.6670859,2025-12-16,
공공청사(서비스),일자리경제과,동부 경기문화창조허브,중앙동,경기도 여주시 청심로 88,경기도 여주시 하동 124,031-8051-8103,,37.29953272,127.6301574,2025-12-16,
공공청사(서비스),회계과,북내면 행정복지센터,북내면,경기도 여주시 북내면 여양2로 301,경기도 여주시 북내면 당우리 165-5,031-887-3483,https://www.yeoju.go.kr,37.32905517,127.6790797,2025-12-16,
공공청사(서비스),회계과,산북면 행정복지센터,산북면,경기도 여주시 산북면 상품로 93,경기도 여주시 산북면 상품리 121,031-887-3913,https://www.yeoju.go.kr,37.40206306,127.442956,2025-12-16,
공공청사(서비스),회계과,세종대왕면 행정복지센터,세종대왕면,경기도 여주시 세종대왕면 번도1길 2-9,경기도 여주시 세종대왕면 번도리 502-3,031-887-3856,https://www.yeoju.go.kr,37.2999858,127.5734637,2025-12-16,
공공청사(서비스),회계과,수도사업소,여흥동,경기도 여주시 용강길 97,경기도 여주시 상동 29-7,031-887-3504,https://www.yeoju.go.kr,37.28597986,127.650237,2025-12-16,
공공청사(서비스),일자리경제과,여주시 사회적공동체지원센터,중앙동,경기도 여주시 세종로14번길 18,경기도 여주시 창동 68,031-885-5703,https://yjscsc.or.kr,37.29744578,127.6350937,2025-12-16,
공공청사(서비스),일자리경제과,여주시 소비자상담센터,중앙동,경기도 여주시 여흥로11번길 26,경기도 여주시 하동 134-11,031-883-9898,http://www.ncce.or.kr,37.29869399,127.6289484,2025-12-16,
공공청사(서비스),일자리경제과,여주시 소상공인지원센터,여흥동,경기도 여주시 세종로 10,경기도 여주시 홍문동 15-4,031-885-3016,https://yjss.or.kr,37.29718729,127.6367513,2025-12-16,
공공청사(서비스),회계과,여주시의회,여흥동,경기도 여주시 세종로 1,경기도 여주시 홍문동 4,031-887-2521,https://www.yeojucouncil.go.kr,37.29821379,127.6366244,2025-12-16,
공공청사(서비스),회계과,여주시청,여흥동,경기도 여주시 세종로 1,경기도 여주시 홍문동 4,031-887-2114,https://www.yeoju.go.kr,37.29821379,127.6366244,2025-12-16,
공공청사(서비스),회계과,여주시청 별관,여흥동,경기도 여주시 세종로 10,경기도 여주시 홍문동 15-4,031-887-2114,https://www.yeoju.go.kr,37.29718729,127.6367513,2025-12-16,
공공청사(서비스),일자리경제과,여주일자리센터,중앙동,경기도 여주시 세종로14번길 18,경기도 여주시 창동 68,031-887-2690,https://gyeonggi.work.go.kr/yeoju/main.do,37.29744578,127.6350937,2025-12-16,
공공청사(서비스),회계과,여흥동 행정복지센터,여흥동,경기도 여주시 여흥로 148,경기도 여주시 상동 357-2,031-887-3773,https://www.yeoju.go.kr,37.29496555,127.6396267,2025-12-16,
공공청사(서비스),회계과,오학동 행정복지센터,오학동,경기도 여주시 도예로 8,경기도 여주시 현암동 227-5,031-887-3972,https://www.yeoju.go.kr,37.30541974,127.6381576,2025-12-16,
공공청사(서비스),회계과,점동면 행정복지센터,점동면,경기도 여주시 점동면 청안2길 20,경기도 여주시 점동면 청안리 660-1,031-887-3812,https://www.yeoju.go.kr,37.2039201,127.6599257,2025-12-16,
공공청사(서비스),회계과,중앙동 행정복지센터,중앙동,경기도 여주시 여흥로11번길 26,경기도 여주시 하동 134-11,031-887-3414,https://www.yeoju.go.kr,37.29869399,127.6289484,2025-12-16,
공공청사(서비스),회계과,차량등록사무소,오학동,,경기도 여주시 천송동 300-4,031-887-2231,https://www.yeoju.go.kr,37.30118281,127.6579631,2025-12-16,
공공청사(서비스),회계과,하수사업소,여흥동,경기도 여주시 용강길 97,경기도 여주시 상동 29-7,031-887-3517,https://www.yeoju.go.kr,37.28597986,127.650237,2025-12-16,
공공청사(서비스),회계과,흥천면 행정복지센터,흥천면,경기도 여주시 흥천면 효자로 154,경기도 여주시 흥천면 효지리 376-6,031-887-3875,https://www.yeoju.go.kr,37.33330365,127.5414254,2025-12-16,
공원·수목원,산림공원과,10호공원,오학동,,경기도 여주시 오학동 419,031-887-2604,,37.3040084,127.6465051,2025-12-16,
공원·수목원,산림공원과,14호공원,오학동,,경기도 여주시 오학동 403,031-887-2604,,37.30194807,127.6473666,2025-12-16,
공원·수목원,산림공원과,17호공원,중앙동,,경기도 여주시 하동 431-4,031-887-2604,,37.3012403,127.6227795,2025-12-16,
공원·수목원,산림공원과,1호공원,여흥동,,경기도 여주시 상동 282-4,031-887-2604,,37.29580238,127.6395941,2025-12-16,
공원·수목원,산림공원과,2호공원,중앙동,경기도 여주시 강변로 25,경기도 여주시 하동 121-4,031-887-2604,,37.30114377,127.6289,2025-12-16,
공원·수목원,산림공원과,3호공원,중앙동,경기도 여주시 여흥로88번길 18-12,경기도 여주시 창동 145,031-887-2604,,37.29427389,127.6334497,2025-12-16,
공원·수목원,산림공원과,4호공원,여흥동,경기도 여주시 세종로79번길 21-12,경기도 여주시 홍문동 283,031-887-2604,,37.29081999,127.6378148,2025-12-16,
공원·수목원,산림공원과,5호공원,여흥동,경기도 여주시 여흥로160번길 49-7,경기도 여주시 상동 373-8,031-887-2604,,37.29188362,127.641287,2025-12-16,
공원·수목원,산림공원과,7호공원,중앙동,,경기도 여주시 하동 412-1,031-887-2604,,37.29622708,127.6300342,2025-12-16,
공원·수목원,산림공원과,9호공원,중앙동,,경기도 여주시 하동 422,031-887-2604,,37.29998402,127.6241111,2025-12-16,
공원·수목원,산림공원과,금은모래강변공원,여흥동,경기도 여주시 강변유원지길 164,경기도 여주시 연양동 8,031-887-2604,,37.28937608,127.6719504,2025-12-16,
공원·수목원,산림공원과,법무단지앞 소공원1,오학동,,경기도 여주시 현암동 674,031-887-2604,,37.311933,127.6314557,2025-12-16,
공원·수목원,산림공원과,법무단지앞 소공원2,오학동,,경기도 여주시 현암동 679,031-887-2604,,37.31279417,127.6344664,2025-12-16,
공원·수목원,산림공원과,여주18호 어린이공원,중앙동,,경기도 여주시 교동 115-1,031-887-2604,,37.27838827,127.6331412,2025-12-16,
공원·수목원,산림공원과,여주22호 어린이공원,중앙동,,경기도 여주시 교동 115-15,031-887-2604,,37.2768225,127.6328215,2025-12-16,
공원·수목원,산림공원과,여주IC앞소공원,여흥동,,경기도 여주시 점봉동 233,031-887-2604,,37.25405325,127.6478527,2025-12-16,
공원·수목원,산림공원과,여주근린공원,여흥동,경기도 여주시 여흥로160번길 21,경기도 여주시 상동 352,031-887-2604,,37.29395607,127.6404539,2025-12-16,
공원·수목원,산림공원과,영월근린공원,여흥동,경기도 여주시 주내로 13,경기도 여주시 상동 132,031-887-2604,,37.29441991,127.6476579,2025-12-16,
공원·수목원,산림공원과,청안어린이공원,점동면,,경기도 여주시 점동면 청안리 651-1,031-887-2604,,37.2051677,127.6604204,2025-12-16,
공원·수목원,산림공원과,태평4호공원,가남읍,경기도 여주시 가남읍 태평1길 20,경기도 여주시 가남읍 태평리 95-1,031-887-2604,,37.20414094,127.5482748,2025-12-16,
공원·수목원,산림공원과,태평5호공원,가남읍,,경기도 여주시 가남읍 태평리 769,031-887-2604,,37.20673404,127.5450164,2025-12-16,
공원·수목원,산림공원과,태평근린공원,가남읍,경기도 여주시 가남읍 태평2길 42-1,경기도 여주시 가남읍 태평리 174,031-887-2604,,37.20429471,127.5455125,2025-12-16,
공원·수목원,산림공원과,황학산수목원,여흥동,경기도 여주시 황학산수목원길 73,경기도 여주시 매룡동 282,031-887-2744,https://www.yeoju.go.kr/hhsan,37.27875343,127.6470365,2025-12-16,
농촌체험휴양마을,농업정책과,늘향골마을,점동면,경기도 여주시 점동면 도리길 152,경기도 여주시 점동면 도리 60-2,,,37.2233893,127.7057236,2025-12-16,
농촌체험휴양마을,농업정책과,밀머리마을,점동면,경기도 여주시 점동면 밀머리길 20,경기도 여주시 점동면 당진리 334-3,0507-1312-2193,http://milmeori.modoo.at,37.18243718,127.683217,2025-12-16,
농촌체험휴양마을,농업정책과,백화원,점동면,,경기도 여주시 점동면 부구리 313,0507-1343-6625,,37.19411174,127.667985,2025-12-16,
농촌체험휴양마을,농업정책과,품실채마을,산북면,경기도 여주시 산북면 광여로 1389,경기도 여주시 산북면 백자리 308-2,,,37.41389291,127.4535081,2025-12-16,
농촌체험휴양마을,농업정책과,해바라기마을,강천면,경기도 여주시 강천면 부평로 368,경기도 여주시 강천면 부평리 213-5,,,37.2844394,127.7405217,2025-12-16,
대중교통,교통행정과,세종대왕릉역,세종대왕면,경기도 여주시 세종대왕면 양화로 877,경기도 여주시 세종대왕면 신지리 275,1544-7788,,37.29393756,127.5707271,2025-12-16,
대중교통,교통행정과,여주역,중앙동,경기도 여주시 교동로 80,경기도 여주시 교동 403-1,1544-7788,,37.28248579,127.6286863,2025-12-16,
대중교통,교통행정과,여주종합터미널,여흥동,경기도 여주시 세종로 85,경기도 여주시 홍문동 274-7,1688-6512,,37.29034759,127.6356027,2025-12-16,
도서관,평생교육과,금사도서관,흥천면,"경기도 여주시 흥천면 이여로 1728-2, 이포권역행복센터 3층",경기도 여주시 흥천면 계신리 15,031-887-3390,https://www.yjlib.go.kr,37.388433,127.534584,2025-12-16,
도서관,평생교육과,대신도서관,대신면,경기도 여주시 대신면 율촌1길 12-10,경기도 여주시 대신면 율촌리 305-1,031-887-3361,https://www.yjlib.go.kr,37.37146848,127.5844591,2025-12-16,
도서관,평생교육과,북내작은도서관,북내면,경기도 여주시 북내면 여강로 337-38,경기도 여주시 북내면 신접리 204-7,031-883-0766,https://www.yjlib.go.kr,37.32761653,127.6834114,2025-12-16,
도서관,평생교육과,산북작은도서관,산북면,경기도 여주시 산북면 상품로 113,경기도 여주시 산북면 상품리 132-3,031-887-3316,https://www.yjlib.go.kr,37.40338436,127.4433029,2025-12-16,
도서관,평생교육과,세종도서관,중앙동,경기도 여주시 영릉로 125,경기도 여주시 하동 107-12,031-887-2861,https://www.yjlib.go.kr,37.29692248,127.6252266,2025-12-16,
도서관,평생교육과,여주기적의도서관,세종대왕면,경기도 여주시 세종대왕면 양화로 913,경기도 여주시 세종대왕면 신지리 262-1,031-887-2965,https://www.yjlib.go.kr,37.29720158,127.5716126,2025-12-16,
도서관,평생교육과,여주도서관,오학동,경기도 여주시 여양로 190-17,경기도 여주시 천송동 561-3,031-887-3300,https://www.yjlib.go.kr,37.29972476,127.6511736,2025-12-16,
도서관,평생교육과,점동도서관,점동면,경기도 여주시 점동면 청안로 130-15,경기도 여주시 점동면 청안리 117-17,031-887-3331,https://www.yjlib.go.kr,37.20518969,127.6630138,2025-12-16,
도서관,평생교육과,흥천도서관,흥천면,경기도 여주시 흥천면 효자로 121,경기도 여주시 흥천면 효지리 220-5,031-887-3234,https://www.yjlib.go.kr,37.33156745,127.5441791,2025-12-16,
모범음식점,보건행정과,BOB(비오비),여흥동,경기도 여주시 상거길 13,경기도 여주시 상거동 187-10,031-881-1234,,37.2486055,127.6293551,2025-12-16,
모범음식점,보건행정과,River52,중앙동,경기도 여주시 강변로 52,경기도 여주시 하동 171-2,031-881-3800,,37.30012923,127.631757,2025-12-16,
모범음식점,보건행정과,강계봉진막국수,대신면,경기도 여주시 대신면 천서리길 26,경기도 여주시 대신면 천서리 419-2,031-882-8300,,37.40319637,127.5489569,2025-12-16,
모범음식점,보건행정과,개성집,오학동,경기도 여주시 현암로 13,경기도 여주시 현암동 668-6,031-881-1777,,37.31219246,127.6323289,2025-12-16,
모범음식점,보건행정과,구능촌,세종대왕면,경기도 여주시 세종대왕면 중부대로2629번길 43,경기도 여주시 세종대왕면 번도리 910,031-882-4893,,37.30180646,127.5990825,2025-12-16,
모범음식점,보건행정과,금룡,여흥동,경기도 여주시 세종로79번길 18-9,경기도 여주시 홍문동 281-3,031-885-7117,,37.29001466,127.6370765,2025-12-16,
모범음식점,보건행정과,나들목,여흥동,경기도 여주시 세종로 492,경기도 여주시 점봉동 340-2,031-881-6078,,37.25640704,127.6467304,2025-12-16,
모범음식점,보건행정과,남한강 송어횟집,세종대왕면,경기도 여주시 세종대왕면 능서로 714,경기도 여주시 세종대왕면 내양리 68,031-881-5792,,37.35356126,127.5731536,2025-12-16,
모범음식점,보건행정과,대구왕볼때기,여흥동,경기도 여주시 세종로79번길 17-9,경기도 여주시 홍문동 271-7,031-885-0370,,37.29086738,127.6369286,2025-12-16,
모범음식점,보건행정과,도깨비정원,강천면,경기도 여주시 강천면 부평로 407,경기도 여주시 강천면 부평리 139-1,031-886-1238,,37.28816347,127.7378993,2025-12-16,
모범음식점,보건행정과,동네막국수,오학동,경기도 여주시 현암3길 28,경기도 여주시 현암동 191-24,031-884-0434,,37.30995042,127.641094,2025-12-16,
모범음식점,보건행정과,두메산골,대신면,경기도 여주시 대신면 풍양1길 6-2,경기도 여주시 대신면 율촌리 344-7,031-881-4063,,37.37316505,127.5845584,2025-12-16,
모범음식점,보건행정과,두메촌,대신면,경기도 여주시 대신면 보통3길 5,경기도 여주시 대신면 보통리 513-3,031-882-0240,,37.38109243,127.5697715,2025-12-16,
모범음식점,보건행정과,두부고을 해마루,북내면,경기도 여주시 북내면 당전로 113,경기도 여주시 북내면 신접리 189-7,031-884-1137,,37.33210871,127.690057,2025-12-16,
모범음식점,보건행정과,두부고을묵대감집,여흥동,경기도 여주시 명품로 93,경기도 여주시 상거동 7-1,031-884-4999,,37.25139691,127.6387737,2025-12-16,
모범음식점,보건행정과,박대감화로구이,여흥동,경기도 여주시 세종로79번길 17-14,경기도 여주시 홍문동 282-3,031-882-1117,,37.29099247,127.637341,2025-12-16,
모범음식점,보건행정과,부뚜막 삼겹살,여흥동,경기도 여주시 여흥로109번길 10,경기도 여주시 홍문동 42,031-885-7765,,37.29640744,127.6359507,2025-12-16,
모범음식점,보건행정과,불타는 숯불닭갈비,중앙동,경기도 여주시 여흥로4번길 39-1,경기도 여주시 하동 423-13,031-886-1778,,37.29973853,127.6230581,2025-12-16,
모범음식점,보건행정과,산촌,가남읍,경기도 여주시 가남읍 경충대로 1142,경기도 여주시 가남읍 심석리 113-1,031-881-0092,,37.19494854,127.5555628,2025-12-16,
모범음식점,보건행정과,알콩달콩 한정식,여흥동,경기도 여주시 장여로 1681,경기도 여주시 점봉동 184-1,031-881-0046,,37.24692668,127.6496947,2025-12-16,
모범음식점,보건행정과,여주(강릉)휴게소[여흥옥],가남읍,경기도 여주시 가남읍 여주남로 722,경기도 여주시 가남읍 오산리 산 2-5,031-882-3120,,37.2377222,127.5683146,2025-12-16,
모범음식점,보건행정과,여주본가,가남읍,경기도 여주시 가남읍 가남로 270-3,경기도 여주시 가남읍 양귀리 141-2,031-883-1277,,37.21457711,127.5802081,2025-12-16,
모범음식점,보건행정과,여주천서리막국수,여흥동,경기도 여주시 세종로 361,경기도 여주시 점봉동 429-43,031-883-0001,,37.26646505,127.6392117,2025-12-16,
모범음식점,보건행정과,여주축산농협한우프라자,오학동,경기도 여주시 강변북로 50,경기도 여주시 오학동 359-1,031-886-1592,,37.3020351,127.6459888,2025-12-16,
모범음식점,보건행정과,"여주휴게소(서창휴게소) 한,양식전문점",가남읍,경기도 여주시 가남읍 화평길 116,경기도 여주시 가남읍 오산리 37-3,031-882-2900,,37.23980814,127.5679863,2025-12-16,
모범음식점,보건행정과,오송가든,중앙동,경기도 여주시 웅골로 332,경기도 여주시 가업동 55,031-885-5289,,37.27613535,127.6158856,2025-12-16,
모범음식점,보건행정과,우륵갈비,금사면,경기도 여주시 금사면 이여로 1290,경기도 여주시 금사면 이포리 268-6,031-881-6648,,37.39136015,127.5324056,2025-12-16,
모범음식점,보건행정과,우미골맛집,여흥동,경기도 여주시 삼교1길 13,경기도 여주시 삼교동 469-4,031-883-1283,,37.24069897,127.6518875,2025-12-16,
모범음식점,보건행정과,우정옥,오학동,경기도 여주시 여양로233번길 5-34,경기도 여주시 천송동 589-3,031-884-2200,,37.30250481,127.6478653,2025-12-16,
모범음식점,보건행정과,응암본가,가남읍,경기도 여주시 가남읍 경충대로 1538,경기도 여주시 가남읍 신해리 598,031-883-7047,,37.21913161,127.529361,2025-12-16,
모범음식점,보건행정과,이가국수,오학동,경기도 여주시 여양로 335-6,경기도 여주시 오학동 272-3,031-881-4839,,37.31190704,127.6445992,2025-12-16,
모범음식점,보건행정과,자연아래 버섯요리전문점,강천면,경기도 여주시 강천면 강문로 926,경기도 여주시 강천면 부평리 404-4,031-886-5083,,37.2743704,127.7322695,2025-12-16,
모범음식점,보건행정과,재상막국수,여흥동,경기도 여주시 칠산길 3,경기도 여주시 상동 106,031-884-3826,,37.29202976,127.6445235,2025-12-16,
모범음식점,보건행정과,조선옥,강천면,경기도 여주시 강천면 강문로 580,경기도 여주시 강천면 간매리 310,031-883-3938,,37.27295739,127.7120082,2025-12-16,
모범음식점,보건행정과,주문진 해신탕,중앙동,경기도 여주시 세종로237번길 3,경기도 여주시 교동 15,031-883-9807,,37.27744308,127.6386399,2025-12-16,
모범음식점,보건행정과,주식회사홍원막국수,대신면,경기도 여주시 대신면 천서리길 12,경기도 여주시 대신면 천서리 605-2,031-882-8259,,37.40258381,127.5472199,2025-12-16,
모범음식점,보건행정과,천서리막국수 본점,대신면,경기도 여주시 대신면 여양로 1974,경기도 여주시 대신면 천서리 606-8,031-883-9799,,37.40259187,127.5465091,2025-12-16,
모범음식점,보건행정과,한양관,오학동,경기도 여주시 신륵로 163,경기도 여주시 천송동 57-3,031-886-7002,,37.30295743,127.667366,2025-12-16,
모범음식점,보건행정과,홍원막국수 여주점,오학동,경기도 여주시 여양로 408,경기도 여주시 오학동 85-4,031-883-1500,,37.31735767,127.6473063,2025-12-16,
모범음식점,보건행정과,화림가든,점동면,경기도 여주시 점동면 청안로 178,경기도 여주시 점동면 청안리 166-11,031-884-5689,,37.20981752,127.6646004,2025-12-16,
모범음식점,보건행정과,황제능이 버섯백숙,오학동,경기도 여주시 여양로 428,경기도 여주시 오학동 85-16,031-881-5285,,37.31858708,127.6485949,2025-12-16,
모범음식점,보건행정과,황토방한정식,가남읍,경기도 여주시 가남읍 흑석로 21,경기도 여주시 가남읍 심석리 130,031-883-5935,,37.19432298,127.5592889,2025-12-16,
무인민원발급기,행복민원과,가남읍행정복지센터,가남읍,경기도 여주시 가남읍 태평중앙1길 20,경기도 여주시 가남읍 태평리 138-8,031-887-3344,,37.2015871,127.5452364,2025-12-16,
무인민원발급기,행복민원과,강천면행정복지센터,강천면,경기도 여주시 강천면 긴등길 5,경기도 여주시 강천면 간매리 311-2,031-887-3993,,37.27294401,127.7114389,2025-12-16,
무인민원발급기,행복민원과,금사면행정복지센터,금사면,경기도 여주시 금사면 이포로 27,경기도 여주시 금사면 이포리 197-3,031-887-3892,,37.39239463,127.5333393,2025-12-16,
무인민원발급기,행복민원과,대신면행정복지센터,대신면,경기도 여주시 대신면 여양로 1456-10,경기도 여주시 대신면 율촌리 390,031-887-3942,,37.37495359,127.5864143,2025-12-16,
무인민원발급기,행복민원과,북내면행정복지센터,북내면,경기도 여주시 북내면 여양2로 301,경기도 여주시 북내면 당우리 165-5,031-887-3962,,37.32918588,127.6789077,2025-12-16,
무인민원발급기,행복민원과,산북면행정복지센터,산북면,경기도 여주시 산북면 상품로 93,경기도 여주시 산북면 상품리 121,031-887-3923,,37.40162196,127.4430645,2025-12-16,
무인민원발급기,행복민원과,세종대왕면행정복지센터,세종대왕면,경기도 여주시 세종대왕면 번도1길 2-9,경기도 여주시 세종대왕면 번도리 502-3,031-887-3862,,37.30016178,127.5733393,2025-12-16,
무인민원발급기,행복민원과,수원지방법원 여주지원,오학동,경기도 여주시 현암로 21-12,경기도 여주시 현암동 640-10,031-887-2135,,37.31365704,127.6340522,2025-12-16,
무인민원발급기,행복민원과,여주시청,여흥동,경기도 여주시 세종로 1,경기도 여주시 홍문동 4,031-887-2135,,37.29813432,127.6371142,2025-12-16,
무인민원발급기,행복민원과,여흥동행정복지센터,여흥동,경기도 여주시 여흥로 148,경기도 여주시 상동 285-2,031-887-3785,,37.29504772,127.6397499,2025-12-16,
무인민원발급기,행복민원과,오학동행정복지센터,오학동,경기도 여주시 여양로 313,경기도 여주시 오학동 254-1,031-887-3469,,37.30966438,127.6443288,2025-12-16,
