시도,시군구,보건기관명,상위기관명,기관유형,대표 전화번호,주소,홈페이지 주소,정규화시군,후보해석상태
경기도,김포시,하성면보건지소,김포시보건소,일반보건지소,031-5186-4233,경기도 김포시 하성면 애기봉로 845 (하성면행정복지센터) 1층,,김포시,requires_planning_review_existing_public_health_facility
경기도,화성시,매송보건지소,화성시서부보건소,일반보건지소,031-5189-2883,경기도 화성시 매송면 매송로 43 (매송면 행정복지센터) 매송보건지소,,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,남양보건지소,화성시서부보건소,일반보건지소,031-5189-2885,경기도 화성시 남양읍 남양시장로 25-2 (남양보건지소) 남양보건지소,,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,마도보건지소,화성시서부보건소,일반보건지소,031-5189-2886,"경기도 화성시 마도면 마도북로 389, 가동 (마도면 행정복지센터) 마도보건지소",,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,비봉보건지소,화성시서부보건소,일반보건지소,031-5189-2884,"경기도 화성시 비봉면 비봉로71번길 1, 본관동 (비봉면 행정복지센터) 비봉보건지소",,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,서신보건지소,화성시서부보건소,일반보건지소,031-5189-2888,"경기도 화성시 서신면 궁평항로 1702, 가동 (서신면 행정복지센터) 서신보건지소",,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,양감보건지소,화성시서부보건소,일반보건지소,031-5189-2587,"경기도 화성시 양감면 초록로 7, 면사무소 (양감면 행정복지센터) 양감보건지소",,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,우정보건지소,화성시서부보건소,일반보건지소,031-5189-2891,경기도 화성시 우정읍 쌍봉로 109-14 (우정읍 행정복지센터) 우정보거닞소,,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,장안보건지소,화성시서부보건소,일반보건지소,031-5189-2890,경기도 화성시 장안면 포승장안로 1219 (장안보건지소) 장안보건지소,,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,정남보건지소,화성시동부보건소,일반보건지소,031-5189-4470,경기도 화성시 효행구 정남면 서봉로 998 (정남면 행정복지센터) 정남보건지소,,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,팔탄보건지소,화성시서부보건소,일반보건지소,031-5189-2889,경기도 화성시 팔탄면 구장길 14 (팔탄면 행정복지센터) 팔탄보건지소,,화성시,requires_planning_review_existing_public_health_facility
경기도,광주시,퇴촌남종통합보건지소,광주시보건소,통합보건지소,031-760-2561,경기도 광주시 퇴촌면 산수로 1347 퇴촌.남종통합보건지소,,광주시,requires_planning_review_existing_public_health_facility
경기도,광주시,도척보건지소,광주시보건소,일반보건지소,031-760-2560,경기도 광주시 도척면 노곡로 20 (도척면행정복지센터) 도척보건지소,,광주시,requires_planning_review_existing_public_health_facility
경기도,광주시,광주시보건소초월보건지소,광주시보건소,일반보건지소,031-760-8710,경기도 광주시 초월읍 경충대로 1009-40 (초월보건지소) 동부건강센터,,광주시,requires_planning_review_existing_public_health_facility
경기도,양주시,은남통합보건지소,양주시보건소,통합보건지소,031-8082-7181,경기도 양주시 남면 화합로610번길 161-13 (은남통합보건지소) 은남통합보건지소,,양주시,requires_planning_review_existing_public_health_facility
경기도,양주시,장흥보건지소,양주시보건소,일반보건지소,031-8082-7192,경기도 양주시 장흥면 권율로 7 (장흥면 행정복지센터) 장흥보건지소,,양주시,requires_planning_review_existing_public_health_facility
경기도,포천시,관인보건지소,포천시보건소,일반보건지소,031-538-4684,경기도 포천시 관인면 관인로 14 (관인면사무소) 관인보건지소,,포천시,requires_planning_review_existing_public_health_facility
경기도,포천시,신북보건지소,포천시보건소,일반보건지소,031-538-4394,경기도 포천시 신북면 호국로 2065 (신북면사무소) 신북보건지소,,포천시,requires_planning_review_existing_public_health_facility
경기도,포천시,영북보건지소,포천시보건소,일반보건지소,031-538-4644,경기도 포천시 영북면 영북로 166 (영북면사무소) 영북보건지소,,포천시,requires_planning_review_existing_public_health_facility
경기도,포천시,영중보건지소,포천시보건소,일반보건지소,031-538-4494,"경기도 포천시 영중면 양문로 151 (영중면사무소,영중시립도서관) 영중보건지소",,포천시,requires_planning_review_existing_public_health_facility
경기도,포천시,이동보건지소,포천시보건소,일반보건지소,031-538-4584,경기도 포천시 이동면 화동로 2070-44 이동보건지소,,포천시,requires_planning_review_existing_public_health_facility
경기도,포천시,창수보건지소,포천시보건소,일반보건지소,031-538-4444,경기도 포천시 창수면 메치골로 178 (창수면사무소) 창수보건지소,,포천시,requires_planning_review_existing_public_health_facility
경기도,포천시,화현보건지소,포천시보건소,일반보건지소,031-538-4744,"경기도 포천시 화현면 달인동로1길 53, 1동 (화현보건지소) 1층",,포천시,requires_planning_review_existing_public_health_facility
경기도,여주시,강천보건지소,여주시보건소,일반보건지소,031-887-3649,경기도 여주시 강천면 강문로 586 (강천면보건소) .,,여주시,requires_planning_review_existing_public_health_facility
경기도,여주시,금사보건지소,여주시보건소,일반보건지소,031-887-3645,경기도 여주시 금사면 이포로 27 (금사면행정복지센터) 금사보건지소,,여주시,requires_planning_review_existing_public_health_facility
경기도,여주시,대신보건지소,여주시보건소,일반보건지소,031-887-3647,경기도 여주시 대신면 율촌1길 47 (대신면보건지소) .,,여주시,requires_planning_review_existing_public_health_facility
경기도,여주시,북내보건지소,여주시보건소,일반보건지소,031-887-3648,경기도 여주시 북내면 당우2길 10 (북내보건지소) .,,여주시,requires_planning_review_existing_public_health_facility
경기도,여주시,산북보건지소,여주시보건소,일반보건지소,031-887-3646,경기도 여주시 산북면 상품로 93 (산북면행정복지센터) .,,여주시,requires_planning_review_existing_public_health_facility
경기도,여주시,점동보건지소,여주시보건소,일반보건지소,031-887-3641,경기도 여주시 점동면 청안2길 20 (점동면 행정복지센터) 1층,,여주시,requires_planning_review_existing_public_health_facility
경기도,여주시,흥천보건지소,여주시보건소,일반보건지소,031-887-3644,경기도 여주시 흥천면 효자로 131-12 (흥천보건지소) .,,여주시,requires_planning_review_existing_public_health_facility
경기도,연천군,백학보건지소,연천군보건의료원,일반보건지소,031-835-5010,경기도 연천군 백학면 두일로 157 (백학보건지소) 백학보건지소,,연천군,requires_planning_review_existing_public_health_facility
