administrative_code,administrative_name,municipality_code,population,households,latitude,longitude,coordinate_source,matched_address,kakao_place_id,geocoding_status,demand_rate_status
5211171200,전북특별자치도 전주시 완산구 효자2동,52110,8455,4363,35.8069269241722,127.119584473343,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 오두정1길 1,8164784,verified_municipality_match,pending_119_activity_api
5211171300,전북특별자치도 전주시 완산구 효자3동,52110,13438,6019,35.806589700719,127.110316778391,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 강변로 180,8166579,verified_municipality_match,pending_119_activity_api
5211171400,전북특별자치도 전주시 완산구 효자4동,52110,38723,17439,35.80392916489008,127.09783334511302,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 천잠로 186,121254903,verified_municipality_match,pending_119_activity_api
5211173000,전북특별자치도 전주시 완산구 효자5동,52110,36138,19218,35.8176505010395,127.101545948163,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 우전로 259,574724763,verified_municipality_match,pending_119_activity_api
5211352500,전북특별자치도 전주시 덕진구 진북동,52110,11849,6320,35.8279427810876,127.131417779564,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 벚꽃1길 8,10780224,verified_municipality_match,pending_119_activity_api
5211354000,전북특별자치도 전주시 덕진구 인후1동,52110,16542,7441,35.8374514037987,127.156691227066,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 견훤로 290,8053744,verified_municipality_match,pending_119_activity_api
5211355000,전북특별자치도 전주시 덕진구 인후2동,52110,9853,5648,35.8398509610127,127.146357881518,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 견훤왕궁로 244,8550391,verified_municipality_match,pending_119_activity_api
5211356000,전북특별자치도 전주시 덕진구 인후3동,52110,28936,14486,35.8278642441791,127.160739917147,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 구총목로 5,2081157088,verified_municipality_match,pending_119_activity_api
5211357000,전북특별자치도 전주시 덕진구 덕진동,52110,19727,10931,35.8453483266519,127.120669359715,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 기린대로 533-7,8265883,verified_municipality_match,pending_119_activity_api
5211357500,전북특별자치도 전주시 덕진구 금암동,52110,17891,11799,35.8374221338632,127.133129068306,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 기린대로 392,10207131,verified_municipality_match,pending_119_activity_api
5211360000,전북특별자치도 전주시 덕진구 팔복동,52110,7017,4448,35.8536571039865,127.106245996314,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 신복5길 6,8113691,verified_municipality_match,pending_119_activity_api
5211361100,전북특별자치도 전주시 덕진구 우아1동,52110,11427,5791,35.8498561266807,127.159558398161,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 우아2길 25,8026996,verified_municipality_match,pending_119_activity_api
5211361200,전북특별자치도 전주시 덕진구 우아2동,52110,13424,7781,35.837733073851,127.167042850811,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 진버들7길 25,8459092,verified_municipality_match,pending_119_activity_api
5211362000,전북특별자치도 전주시 덕진구 호성동,52110,17762,7856,35.8636797379015,127.149616958905,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 동부대로 869,10975213,verified_municipality_match,pending_119_activity_api
5211364100,전북특별자치도 전주시 덕진구 송천1동,52110,32067,13647,35.8571148738925,127.12091303694,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 송천중앙로 116,7956204,verified_municipality_match,pending_119_activity_api
5211364200,전북특별자치도 전주시 덕진구 송천2동,52110,23904,10415,35.8648744622992,127.115632370507,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 두간9길 6,10547346,verified_municipality_match,pending_119_activity_api
5211364300,전북특별자치도 전주시 덕진구 송천3동,52110,32865,11477,35.8752995215746,127.130335440433,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 세병로 31,1823309429,verified_municipality_match,pending_119_activity_api
5211365000,전북특별자치도 전주시 덕진구 조촌동,52110,12103,6407,35.874477862256,127.069235433542,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 쪽구름로 150,8525652,verified_municipality_match,pending_119_activity_api
5211366500,전북특별자치도 전주시 덕진구 여의동,52110,15243,7059,35.8713880933886,127.075668364532,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 여암2길 9,7839465,verified_municipality_match,pending_119_activity_api
5211367000,전북특별자치도 전주시 덕진구 혁신동,52110,35808,13151,35.83899718495104,127.06279151154784,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 덕진구 기지로 95,933701261,verified_municipality_match,pending_119_activity_api
