HT_INST_NM,CTPV_NM,SGG_NM,HTCT_TYPE_NM,LCTN_ROAD_NM_ADDR,LCTN_LOTNO_ADDR,MCARE_EXMD_CN,HMPG_ADDR,TELNO,CRTR_YMD,INSTT_CODE,INSTT_NM
청북보건지소,경기도,평택시,보건지소,경기도 평택시 청북읍 청원로 2,경기도 평택시 청북읍 현곡리 293-4,내과+한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-8856,2026-02-20,3910000,경기도 평택시
안중보건지소,경기도,평택시,보건지소,경기도 평택시 안현로서9길 24,경기도 평택시 안중읍 현화리 834-10,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-8003,2026-02-20,3910000,경기도 평택시
팽성보건지소,경기도,평택시,보건지소,경기도 평택시 팽성읍 팽성남산4길 6,경기도 평택시 남산리 406-21,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4360,2026-02-20,3910000,경기도 평택시
화악리보건진료소,경기도,가평군,보건진료소,경기도 가평군 북면 화악지암길 4,경기도 가평군 북면 화악리 472-4,내과,,031-582-3011,2025-12-24,4160000,경기도 가평군
운악리보건진료소,경기도,가평군,보건진료소,경기도 가평군 조종면 현등사길 7-16,경기도 가평군 조종면 운악리 449-1,내과,,031-585-1128,2025-12-24,4160000,경기도 가평군
태봉리보건진료소,경기도,가평군,보건진료소,경기도 가평군 상면 아랫벌길 11,경기도 가평군 상면 태봉리 353-4,내과,,031-585-1568,2025-12-24,4160000,경기도 가평군
임초리보건진료소,경기도,가평군,보건진료소,경기도 가평군 상면 청군로 699,경기도 가평군 상면 임초리 416-2,내과,,031-585-1736,2025-12-24,4160000,경기도 가평군
율길리보건진료소,경기도,가평군,보건진료소,경기도 가평군 상면 청군로 2043-15,경기도 가평군 상면 율길리 611-1,내과,,031-584-3494,2025-12-24,4160000,경기도 가평군
위곡리보건진료소,경기도,가평군,보건진료소,경기도 가평군 설악면 한서로 227,경기도 가평군 설악면 위곡리 719-2,내과,,031-584-7205,2025-12-24,4160000,경기도 가평군
설곡리보건진료소,경기도,가평군,보건진료소,경기도 가평군 설악면 봉미산안길7번길 1-6,경기도 가평군 설악면 설곡리 703-1,내과,,031-584-7771,2025-12-24,4160000,경기도 가평군
상천리보건진료소,경기도,가평군,보건진료소,경기도 가평군 청평면 수리재길 293-19,경기도 가평군 청평면 상천리 992,내과,,031-584-1795,2025-12-24,4160000,경기도 가평군
삼회리보건진료소,경기도,가평군,보건진료소,경기도 가평군 청평면 북한강로2010번길 18,경기도 가평군 청평면 삼회리 226-3,내과,,031-584-2242,2025-12-24,4160000,경기도 가평군
산유리보건진료소,경기도,가평군,보건진료소,경기도 가평군 가평읍 호반로 1799-8,경기도 가평군 가평읍 산유리 197-8,내과,,031-582-0294,2025-12-24,4160000,경기도 가평군
백둔리보건진료소,경기도,가평군,보건진료소,경기도 가평군 북면 백둔로 417-9,경기도 가평군 북면 백둔리 348-1,내과,,031-582-1011,2025-12-24,4160000,경기도 가평군
방일리보건진료소,경기도,가평군,보건진료소,경기도 가평군 설악면 양방가루재길 4-18,경기도 가평군 설악면 방일리 215-12,내과,,031-584-7051,2025-12-24,4160000,경기도 가평군
미사리보건진료소,경기도,가평군,보건진료소,경기도 가평군 설악면 미사리로 629,경기도 가평군 설악면 미사리 308,내과,,031-584-4166,2025-12-24,4160000,경기도 가평군
도대리보건진료소,경기도,가평군,보건진료소,경기도 가평군 가화로 2370-14,경기도 가평군 북면 도대리 311-14,내과,,031-582-0388,2025-12-24,4160000,경기도 가평군
개곡리보건진료소,경기도,가평군,보건진료소,경기도 가평군 가평읍 당목가일길 211-9,경기도 가평군 가평읍 개곡리 718-1,내과,,031-582-1191,2025-12-24,4160000,경기도 가평군
조종면보건지소,경기도,가평군,보건지소,경기도 가평군 조종면 조종내길 75,경기도 가평군 조종면 현리 567-7,내과+한의과,,031-580-4242,2025-12-24,4160000,경기도 가평군
청평면보건지소,경기도,가평군,보건지소,경기도 가평군 청평면 은고개로 21,경기도 가평군 청평면 청평리 333-1,내과+한의과,,031-580-4142,2025-12-24,4160000,경기도 가평군
설악면보건지소,경기도,가평군,보건지소,경기도 가평군 한서로 6,경기도 가평군 설악면 신천리 156-1,내과+한의과,,031-580-4091,2025-12-24,4160000,경기도 가평군
상면보건지소,경기도,가평군,보건지소,경기도 가평군 상면 청군로 1099,경기도 가평군 상면 연하리 171-1,내과+한의과,,031-580-4194,2025-12-24,4160000,경기도 가평군
북면보건지소,경기도,가평군,보건지소,경기도 가평군 북면 화악산로 23,경기도 가평군 북면 목동리 883-13,내과+한의과,,031-580-4293,2025-12-24,4160000,경기도 가평군
가평군보건소,경기도,가평군,보건소,경기도 가평군 가평읍 가화로 155-18,경기도 가평군 가평읍 읍내리 624-1,내과+한의과,https://www.gp.go.kr/health/index.do,031-582-2488,2025-12-24,4160000,경기도 가평군
영통구보건소,경기도,수원시 영통구,보건소,경기도 수원시 영통구 영통로 396,경기도 수원시 영통구 영통동 961-18,내과+한의과+물리치료,health.suwon.go.kr,031-5191-0718,2025-11-26,3740000,경기도 수원시
팔달구보건소,경기도,수원시 팔달구,보건소,경기도 수원시 팔달구 팔달산로 6,경기도 수원시 팔달구 교동 56-1,내과+한의과+물리치료,health.suwon.go.kr,031-5191-0517,2025-11-26,3740000,경기도 수원시
권선구보건소,경기도,수원시 권선구,보건소,경기도 수원시 권선구 호매실로 22-50,경기도 수원시 권선구 탑동 910,내과+한의과+물리치료,health.suwon.go.kr,031-5191-0317,2025-11-26,3740000,경기도 수원시
장안구보건소,경기도,수원시 장안구,보건소,경기도 수원시 장안구 송원로 101,경기도 수원시 장안구 조원동 888,내과+한의과+물리치료,health.suwon.go.kr,031-5191-0118,2025-11-26,3740000,경기도 수원시
하남시미사보건센터,경기도,하남시,보건지소,경기도 하남시 미사강변대로 200,경기도 하남시 망월동 980,내과,https://www.hanam.go.kr/health/index.do,031-790-6555,2025-12-10,4040000,경기도 하남시
하남시보건소,경기도,하남시,보건소,경기도 하남시 대청로 10,경기도 하남시 신장동 520,내과,https://www.hanam.go.kr/health/index.do,031-790-6555,2025-12-10,4040000,경기도 하남시
